imdb_title_id,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote
tt4681454,5.9,5.6,5.7,6.1,5.7,6.5
tt4682136,5.7,5.7,5.7,5.9,5.7,5.8
tt4682266,5.6,5.5,5.6,5.9,5.7,5.3
tt4682562,6.0,6.1,6.0,6.0,6.0,6.0
tt4682708,4.7,5.2,4.7,4.4,4.8,4.2
tt4682780,5.1,5.1,5.0,5.3,5.1,5.1
tt4682786,6.8,6.8,6.7,6.8,6.7,7.1
tt4682788,6.3,6.5,6.3,6.4,6.3,6.5
tt4682804,4.8,4.7,4.8,4.9,4.8,5.0
tt4683366,6.3,6.6,5.9,5.2,6.2,5.0
tt4684028,5.3,5.6,5.0,5.5,5.3,5.5
tt4684258,7.0,7.2,6.8,5.1,6.9,7.3
tt4684710,6.7,6.5,6.7,6.9,6.8,6.4
tt4685428,5.7,5.7,4.9,4.8,4.9,6.1
tt4685626,4.0,4.6,3.9,4.1,3.9,4.8
tt4685636,4.7,4.9,4.8,4.4,4.7,5.2
tt4685750,6.2,5.9,6.2,6.5,6.1,6.5
tt4685806,4.1,3.9,4.0,4.0,3.8,4.5
tt4685940,4.3,4.4,4.4,4.3,4.2,4.5
tt4685968,3.3,3.3,3.3,5.5,3.4,5.4
tt4686108,5.4,6.1,5.1,4.8,5.0,5.8
tt4686500,5.3,5.2,5.5,5.5,5.3,5.6
tt4686604,6.3,6.8,6.1,6.6,6.3,6.4
tt4686692,6.7,6.8,6.6,6.8,6.6,7.1
tt4686844,7.2,7.4,7.2,7.1,7.3,7.2
tt4686862,5.6,5.8,5.3,5.2,5.2,5.8
tt4687108,5.4,5.4,5.4,5.4,5.4,5.5
tt4687276,5.0,4.7,4.8,4.5,4.7,6.2
tt4687358,5.2,5.3,5.1,5.1,5.1,5.2
tt4687410,6.0,6.3,5.9,5.8,5.8,6.2
tt4687464,5.8,5.8,5.7,5.8,5.7,5.9
tt4687848,5.8,6.0,5.7,5.7,5.8,6.0
tt4687856,5.3,5.1,5.3,5.2,5.3,4.9
tt4688294,4.0,3.4,3.6,4.4,3.9,3.3
tt4688446,7.9,8.4,7.5,6.5,7.8,8.0
tt4689996,4.3,4.8,4.4,4.2,4.4,4.5
tt4690052,5.1,4.7,5.4,5.1,5.1,5.1
tt4690134,3.5,3.7,3.3,3.6,3.4,3.4
tt4690878,6.6,6.8,6.6,7.0,6.7,6.6
tt4691166,6.6,6.5,6.8,6.6,6.6,7.1
tt4691348,6.5,6.6,6.3,7.2,6.5,6.2
tt4691804,6.8,7.2,6.8,7.0,6.8,7.1
tt4691974,6.2,6.8,6.2,6.0,6.3,5.8
tt4692234,7.1,7.4,7.1,6.7,7.1,7.3
tt4692242,6.4,6.7,6.4,6.2,6.5,6.4
tt4692368,7.5,7.6,7.2,6.2,7.4,7.7
tt4692646,6.1,4.7,6.0,6.3,6.0,6.1
tt4693358,6.3,6.6,6.3,6.1,6.3,6.4
tt4693418,4.9,4.8,5.0,4.9,4.9,5.3
tt4693464,6.3,5.9,7.2,4.2,6.2,7.7
tt4693588,6.8,6.8,6.7,6.8,6.8,6.8
tt4693612,6.4,6.5,6.3,6.4,6.4,6.5
tt4693860,4.7,4.7,4.4,5.1,4.4,4.7
tt4694366,4.6,4.3,4.7,4.5,4.6,4.5
tt4694404,5.1,5.6,4.9,4.3,5.0,5.5
tt4694518,5.6,5.5,5.6,5.6,5.5,6.2
tt4694544,5.3,5.4,5.3,5.2,5.3,5.2
tt4694546,2.9,2.5,2.8,2.5,2.4,3.6
tt4695012,6.2,6.5,6.0,5.8,6.2,5.6
tt4695098,4.7,4.6,4.6,4.7,4.6,4.7
tt4695434,6.0,5.9,6.0,5.4,5.9,6.1
tt4695462,7.3,7.6,7.2,7.0,7.1,7.6
